Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
33359,3546.2,3.4,0.977333484,-0.022927351,-0.275128209,0.033434776,0.002834707,10.0667,0.002834707,0.002786231
33390,3465.82,3.41,1.021299433,0.02107577,0.252909242,0.033531483,0.002844972,9.8742,0.002844972,0.00279429
33420,3539.64,3.26,0.993855307,-0.006163649,-0.073963788,0.032079893,0.00271833,9.635,0.00271833,0.002673324
33451,3517.89,3.3,0.963043188,-0.037657021,-0.451884252,0.03246719,0.002752123,9.695,0.002752123,0.002705599
33482,3387.88,3.42,1.037746319,0.037051361,0.444616333,0.033628181,0.002845812,9.655,0.002845812,0.002802348
33512,3515.76,3.2,0.980871846,-0.019313464,-0.231761573,0.031498667,0.002670589,9.4017,0.002670589,0.002624889
33543,3448.51,3.27,1.018515243,0.018345923,0.22015107,0.032176732,0.002728845,9.4233,0.002728845,0.002681394
33573,3512.36,3.18,1.023847214,0.02356731,0.282807723,0.03130485,0.002652102,9.3275,0.002652102,0.002608738
33604,3596.12,3.09,0.996056861,-0.003950933,-0.047411201,0.030432207,0.002569608,9.2525,0.002569608,0.002536017
33635,3581.94,3.08,0.952595521,-0.048564893,-0.582778712,0.0303352,0.002571413,9.2225,0.002571413,0.002527933
33664,3412.14,3.24,0.983418031,-0.016720989,-0.200651867,0.031886189,0.00269628,9.2125,0.00269628,0.002657182
33695,3355.56,3.28,1.009646676,0.009600444,0.115205326,0.032273561,0.002731042,9.1767,0.002731042,0.002689463
33725,3387.93,3.24,0.999932112,-6.79E-05,-0.000814684,0.031886189,0.002703511,9.1717,0.002703511,0.002657182
33756,3387.7,3.19,1.016447737,0.016313939,0.195767262,0.031401763,0.002658535,9.0183,0.002658535,0.002616814
33786,3443.42,3.07,0.988238437,-0.011831277,-0.141975324,0.030238183,0.002560797,8.8292,0.002560797,0.002519849
33817,3402.92,3.06,0.969132392,-0.031354049,-0.376248585,0.030141157,0.002549203,8.6858,0.002549203,0.002511763
33848,3297.88,3.17,1.011595328,0.011528617,0.138343407,0.031207927,0.002642902,8.7275,0.002642902,0.002600661
33878,3336.12,3.06,0.984026354,-0.0161026,-0.193231198,0.030141157,0.002552852,8.5275,0.002552852,0.002511763
33909,3282.83,3.13,1.020595035,0.020385825,0.244629903,0.030820142,0.002606148,8.5667,0.002606148,0.002568345
33939,3350.44,3.05,0.986577882,-0.013513009,-0.162156102,0.030044121,0.002542193,8.5283,0.002542193,0.002503677
33970,3305.47,3.09,1.044235767,0.043285294,0.519423531,0.030432207,0.002576493,8.5275,0.002576493,0.002536017
34001,3451.69,2.9,1.043674258,0.042747427,0.51296913,0.028587457,0.002420027,8.3633,0.002420027,0.002382288
34029,3602.44,2.76,1.051900934,0.050598941,0.607187286,0.027225986,0.002305498,8.315,0.002305498,0.002268832
34060,3789.41,2.64,1.02461333,0.024315303,0.291783632,0.026057534,0.002201296,8.3508,0.002201296,0.002171461
34090,3882.68,2.55,1.021554699,0.021325682,0.255908183,0.025180299,0.002123209,8.2525,0.002123209,0.002098358
34121,3966.37,2.49,1.000216823,0.000216799,0.002601593,0.024595047,0.002076569,8.245,0.002076569,0.002049587
34151,3967.23,2.48,1.042931718,0.042035707,0.504428485,0.024497472,0.002068775,8.2158,0.002068775,0.002041456
34182,4137.55,2.36,0.96448623,-0.036159724,-0.433916686,0.023325825,0.001973255,8.1725,0.001973255,0.001943819
34213,3990.61,2.45,1.066388347,0.064277562,0.771330745,0.024204689,0.002042912,8.1608,0.002042912,0.002017057
34243,4255.54,2.3,0.982298369,-0.017860179,-0.214322148,0.022739487,0.001920168,8.1792,0.001920168,0.001894957
34274,4180.21,2.34,1.033782992,0.033224881,0.398698578,0.023130417,0.001955333,8.1817,0.001955333,0.001927535
34304,4321.43,2.26,1.054014528,0.052606233,0.6312748,0.022348404,0.001884566,8.1517,0.001884566,0.001862367
34335,4554.85,2.14,0.971237253,-0.029184502,-0.350214025,0.021174235,0.001789171,8.1567,0.001789171,0.00176452
34366,4423.84,2.18,0.978701761,-0.021528319,-0.258339826,0.021565778,0.00181898,8.0542,0.00181898,0.001797148
34394,4329.62,2.23,0.985564553,-0.014540652,-0.174487821,0.022054991,0.001860049,8.0608,0.001860049,0.001837916
34425,4267.12,2.27,1.013978983,0.013882179,0.166586143,0.022446189,0.001897793,8.1058,0.001897793,0.001870516
34455,4326.77,2.26,0.930312912,-0.072234284,-0.866811414,0.022348404,0.001887225,8.1733,0.001887225,0.001862367
