Date,1 month,3 month,1 year,2 year,3 year,5 year,7 year, 10 year,15 year, 20 year,25 year
5/1/1991,0.084892467,0.088996513,0.089548366,0.090409137,0.091085358,0.092320734,0.093286315,0.095613655,0.098769141,0.097259733,0.098055025
6/3/1991,0.082593298,0.087908108,0.088997404,0.089475154,0.091586085,0.094261793,0.094500401,0.097008671,0.10062973,0.098770172,0.097641322
7/2/1991,0.08222494,0.083572743,0.089434378,0.092475831,0.094380339,0.097023574,0.09837727,0.10142583,0.10421575,0.10102969,0.099428112
8/1/1991,0.080934617,0.085798794,0.08897,0.091682075,0.0936703,0.095871679,0.096592355,0.099120051,0.10216261,0.099621474,0.098101526
9/4/1991,0.080842388,0.082144263,0.086627232,0.088299656,0.090223744,0.093363988,0.094349991,0.096633738,0.099515987,0.097940889,0.097202868
10/1/1991,0.076868444,0.080749791,0.079139071,0.080672121,0.082946962,0.086110821,0.087947117,0.091206042,0.094658826,0.094512958,0.094512445
11/1/1991,0.070924338,0.078197546,0.07229253,0.073163223,0.075968068,0.080661066,0.083993795,0.088502736,0.092101289,0.093133598,0.096791337
12/2/1991,0.07064484,0.072305616,0.072306783,0.073681561,0.075768229,0.079816605,0.083017067,0.087708208,0.092376969,0.092135681,0.091545445
1/2/1992,0.067004229,0.072452276,0.06961952,0.070857027,0.073449626,0.076700215,0.078762391,0.083836804,0.090356512,0.091532307,0.09216709
2/3/1992,0.068779515,0.06969744,0.071655561,0.074379284,0.076736703,0.080400665,0.083257557,0.087370889,0.09117123,0.091319918,0.091549884
3/2/1992,0.069619342,0.075148544,0.075119967,0.077390642,0.079731035,0.082260296,0.084185187,0.088273769,0.091738658,0.092690262,0.096829115
4/1/1992,0.062693069,0.071194243,0.076982849,0.081361422,0.08396556,0.086586365,0.08808698,0.091200974,0.094761083,0.094260276,0.093418022
5/1/1992,0.05921186,0.065948975,0.071484902,0.076923709,0.080160747,0.084028521,0.086848558,0.090998063,0.095475594,0.095793577,0.094877025
6/1/1992,0.055340095,0.061786839,0.064745871,0.070434522,0.075241255,0.080926695,0.084419045,0.089269684,0.09305895,0.094123446,0.097126366
7/2/1992,0.05230778,0.057765238,0.055205215,0.060242354,0.066169042,0.073316308,0.077593829,0.084506767,0.089829372,0.090636455,0.097149332
