time,cpi,cpi growth,continuous,annual average,annual
May-91,82.7,1.004860267,0.004848494,0.059793649,0.058181928
Jun-91,83.1,1.004836759,0.004825099,0.060775054,0.057901194
Jul-91,83.2,1.001203369,0.001202646,0.058148723,0.014431746
Aug-91,83.3,1.001201923,0.001201201,0.05807685,0.014414415
Sep-91,83.1,0.99759904,-0.002403847,0.053131705,-0.028846163
Oct-91,83,0.998796631,-0.001204094,0.043083586,-0.014449124
Nov-91,83.3,1.003614458,0.003607942,0.040421914,0.043295299
Dec-91,82.9,0.995198079,-0.004813487,0.036859209,-0.057761847
Jan-92,83.3,1.00482509,0.004813487,0.015729302,0.057761839
Feb-92,83.3,1,0,0.015729302,0
Mar-92,83.6,1.003601441,0.003594971,0.015672412,0.043139656
Apr-92,83.7,1.001196172,0.001195457,0.01686787,0.014345486
May-92,83.8,1.001194743,0.00119403,0.013213405,0.014328358
Jun-92,84,1.002386635,0.002383792,0.010772097,0.028605498
Jul-92,84.2,1.002380952,0.002378122,0.011947573,0.028537464
Aug-92,84.2,1,0,0.010746372,0
Sep-92,84.2,1,0,0.013150219,0
Oct-92,84.3,1.001187648,0.001186943,0.015541257,0.01424332
Nov-92,84.7,1.004744958,0.004733736,0.016667052,0.056804834
Dec-92,84.7,1,0,0.02148054,0
Jan-93,85,1.003541913,0.003535655,0.020202707,0.042427862
Feb-93,85.3,1.003529412,0.003523198,0.023725905,0.042278379
Mar-93,85.2,0.998827667,-0.001173021,0.018957914,-0.014076249
Apr-93,85.2,1,0,0.017762456,0
May-93,85.4,1.002347418,0.002344667,0.018913093,0.028136005
Jun-93,85.4,1,0,0.016529302,0
Jul-93,85.6,1.00234192,0.002339182,0.016490362,0.028070184
Aug-93,85.7,1.001168224,0.001167542,0.017657904,0.014010506
Sep-93,85.7,1,0,0.017657904,0
Oct-93,85.9,1.002333722,0.002331003,0.018801964,0.027972037
Nov-93,86.3,1.004656577,0.004645769,0.018713996,0.055749224
Dec-93,86.1,0.997682503,-0.002320187,0.01639381,-0.027842239
Jan-94,86.1,1,0,0.012858155,0
Feb-94,85.4,0.991869919,-0.00816331,0.001171646,-0.097959724
Mar-94,85.4,1,0,0.002344667,0
Apr-94,85.4,1,0,0.002344667,0
May-94,85.2,0.99765808,-0.002344667,-0.002344667,-0.028135999
Jun-94,85.4,1.002347418,0.002344667,-1.70E-16,0.028136005
Jul-94,85.7,1.003512881,0.003506725,0.001167542,0.042080703
Aug-94,85.8,1.001166861,0.001166181,0.001166181,0.013994169
Sep-94,85.9,1.001165501,0.001164822,0.002331003,0.013977868
Oct-94,85.7,0.997671711,-0.002331004,-0.002331003,-0.027972044
Nov-94,86.2,1.005834306,0.005817352,-0.00115942,0.069808228
Dec-94,86.3,1.001160093,0.001159421,0.002320187,0.013913047
Jan-95,86.6,1.003476246,0.003470218,0.005790404,0.041642614
Feb-95,87,1.004618938,0.004608303,0.018562018,0.055299641
Mar-95,87.2,1.002298851,0.002296213,0.02085823,0.027554552
